iter	Passed	Remaining
0	11	11232
1	22	11389
2	35	11654
3	46	11552
4	59	11792
5	71	11916
6	84	11945
7	95	11877
8	107	11793
9	118	11723
10	129	11641
11	140	11598
12	152	11555
13	163	11534
14	175	11501
15	187	11509
16	198	11483
17	210	11470
18	221	11436
19	232	11413
20	244	11394
21	256	11394
22	268	11400
23	280	11407
24	291	11374
25	303	11384
26	316	11388
27	328	11407
28	339	11382
29	352	11384
30	364	11393
31	377	11409
32	388	11396
33	401	11409
34	413	11394
35	425	11397
36	436	11365
37	449	11375
38	461	11383
39	473	11375
40	484	11336
41	496	11316
42	508	11321
43	519	11290
44	532	11301
45	544	11292
46	557	11295
47	569	11286
48	581	11288
49	593	11276
50	606	11276
51	617	11264
52	630	11266
53	642	11263
54	655	11258
55	667	11248
56	680	11250
57	691	11238
58	704	11234
59	716	11230
60	729	11232
61	742	11226
62	754	11222
63	766	11211
64	779	11209
65	791	11205
66	804	11201
67	817	11204
68	830	11202
69	843	11203
70	856	11212
71	869	11202
72	880	11183
73	894	11194
74	908	11207
75	921	11202
76	934	11202
77	947	11201
78	961	11211
79	975	11220
80	989	11228
81	1003	11231
82	1016	11230
83	1030	11232
84	1043	11229
85	1057	11242
86	1071	11247
87	1086	11264
88	1104	11302
89	1119	11320
90	1134	11332
91	1152	11370
92	1167	11384
93	1183	11406
94	1198	11412
95	1212	11415
96	1226	11418
97	1241	11424
98	1274	11598
99	1292	11628
100	1308	11647
101	1325	11670
102	1340	11676
103	1355	11675
104	1368	11664
105	1381	11651
106	1394	11640
107	1407	11624
108	1421	11617
109	1435	11613
110	1449	11612
111	1464	11610
112	1478	11602
113	1491	11593
114	1508	11607
115	1523	11612
116	1539	11621
117	1557	11638
118	1573	11649
119	1588	11649
120	1607	11679
121	1623	11686
122	1641	11701
123	1658	11717
124	1676	11735
125	1694	11755
126	1711	11767
127	1724	11750
128	1737	11729
129	1752	11731
130	1768	11734
131	1787	11755
132	1804	11765
133	1820	11766
134	1835	11761
135	1852	11765
136	1868	11770
137	1884	11770
138	1900	11769
139	1917	11777
140	1933	11780
141	1950	11783
142	1963	11770
143	1977	11752
